track,Date,Chamber,track_AP,track_ML ,Cortex ,Quiet,SC,Track ,RF_theta,RF amp.,.plx ,delay_num_trials,catSearchPHYSIOL_num_trials,delayANTI_num_trials, catSearchPHYSIOL_SfN2017,#units,Comments,Unnamed: 18
T22_2,2017-09-19,SC,5P,3R,12.0,,20.9,21.259,190,12.0,Peanut_T22_2,12.0,5.0,,,,lost motivation,
T23_1,2017-09-20,SC,6P,3R,9.8,20.8,21.976,22.763,190,18.0,Peanut_T23_1,11.0,200.0,,SfN17_Peanut_T23_1-01,1,,
T23_2,2017-09-20,SC,6P,3R,9.8,20.8,21.976,22.995,190,18.0,Peanut_T23_2,,89.0,,SfN17_Peanut_T23_2-01,1,,
T24,2017-09-21,SC,5P,2R,,19.9,21.6,22.8,175,12.0,Peanut_T24_1,11.0,203.0,,SfN17_Peanut_T24_1-01,*1,not very good recording,
T25_1,2017-09-22,SC,5P,3R,9.9,17.0,21.0,21.885,205,15.0,Peanut_T25_1,11.0,101.0,,SfN17_Peanut_T25_1-02,*1,not very good recording,
T25_2,2017-09-22,SC,5P,3R,9.9,17.0,21.0,22.384,205,15.0,Peanut_T25_2,11.0,85.0,,SfN17_Peanut_T25_2-01,3,,
T26_1,2017-09-27,SC,5P,2R,9.8,19.7,21.147,21.848,170,18.0,Peanut_T26_1,14.0,158.0,,SfN17_Peanut_T26_1-01,2,,
T26_2,2017-09-27,SC,5P,2R,9.8,19.7,22.373,21.848,170,18.0,Peanut_T26_2,22.0,15.0,,,,,
T26_3,2017-09-27,SC,5P,2R,9.8,19.7,22.627,21.848,170,18.0,Peanut_T26_3,10.0,44.0,,SfN17_Peanut_T26_3-01,2,Motor cell?,
T27_1,2017-09-28,SC,5P,3R,11.0,20.358,21.435,22.28,175,5.0,Peanut_T27_1,11.0,151.0,,SfN17_Peanut_T27_1-01,2,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
T27_2,2017-09-29,SC,5P,3R,11.0,20.358,21.435,22.927,175,5.0,Peanut_T27_2,11.0,121.0,,SfN17_Peanut_T27_2-02,2,,
